     0: >>> E[0:00:00]-R[?]: Return=    -1e+04, Steps=10000.0, Features = 0
  5000: >>> E[0:00:01]-R[0:00:42]: Return=    -1e+04, Steps=10000.0, Features = 51
 10000: E[0:00:03]-R[0:00:41]: Return=    -1e+04, Steps=10000, Features = 51
 10000: >>> E[0:00:03]-R[0:00:41]: Return=    -1e+04, Steps=10000.0, Features = 51
 15000: >>> E[0:00:04]-R[0:00:40]: Return=    -1e+04, Steps=10000.0, Features = 91
 20000: E[0:00:06]-R[0:00:40]: Return=    -1e+04, Steps=10000, Features = 91
 20000: >>> E[0:00:06]-R[0:00:40]: Return=    -1e+04, Steps=10000.0, Features = 91
 25000: >>> E[0:00:08]-R[0:00:39]: Return=    -1e+04, Steps=10000.0, Features = 118
 30000: E[0:00:09]-R[0:00:37]: Return=    -1e+04, Steps=10000, Features = 118
 30000: >>> E[0:00:09]-R[0:00:37]: Return=    -1e+04, Steps=10000.0, Features = 118
 35000: >>> E[0:00:11]-R[0:00:36]: Return=    -1e+04, Steps=10000.0, Features = 139
 40000: E[0:00:13]-R[0:00:35]: Return=    -1e+04, Steps=10000, Features = 139
 40000: >>> E[0:00:13]-R[0:00:35]: Return=    -1e+04, Steps=10000.0, Features = 139
 45000: >>> E[0:00:14]-R[0:00:34]: Return=    -1e+04, Steps=10000.0, Features = 171
 50000: E[0:00:16]-R[0:00:33]: Return=    -1e+04, Steps=10000, Features = 171
 50000: >>> E[0:00:16]-R[0:00:33]: Return=    -1e+04, Steps=10000.0, Features = 171
 55000: >>> E[0:00:18]-R[0:00:31]: Return=    -1e+04, Steps=10000.0, Features = 190
 60000: E[0:00:20]-R[0:00:30]: Return=    -1e+04, Steps=10000, Features = 190
 60000: >>> E[0:00:20]-R[0:00:30]: Return=    -1e+04, Steps=10000.0, Features = 190
 65000: >>> E[0:00:22]-R[0:00:28]: Return=    -1e+04, Steps=10000.0, Features = 216
 70000: E[0:00:24]-R[0:00:27]: Return=    -1e+04, Steps=10000, Features = 216
