     0: >>> E[0:00:00]-R[?]: Return=    -1e+04, Steps=10000.0, Features = 3125
 10000: E[0:00:53]-R[2:11:40]: Return=    -1e+04, Steps=10000, Features = 3125
 20000: E[0:01:48]-R[2:13:45]: Return=    -1e+04, Steps=10000, Features = 3125
 30000: E[0:02:43]-R[2:13:26]: Return=    -1e+04, Steps=10000, Features = 3125
 40000: E[0:03:38]-R[2:12:41]: Return=    -1e+04, Steps=10000, Features = 3125
 50000: E[0:04:34]-R[2:12:16]: Return=    -1e+04, Steps=10000, Features = 3125
 60000: E[0:05:29]-R[2:11:32]: Return=    -1e+04, Steps=10000, Features = 3125
 70000: E[0:06:25]-R[2:10:56]: Return=    -1e+04, Steps=10000, Features = 3125
 80000: E[0:07:20]-R[2:10:12]: Return=    -1e+04, Steps=10000, Features = 3125
 90000: E[0:08:15]-R[2:09:15]: Return=    -1e+04, Steps=10000, Features = 3125
100000: E[0:09:11]-R[2:08:33]: Return=    -1e+04, Steps=10000, Features = 3125
110000: E[0:10:07]-R[2:07:47]: Return=    -1e+04, Steps=10000, Features = 3125
120000: E[0:11:02]-R[2:06:57]: Return=    -1e+04, Steps=10000, Features = 3125
